Rating Win% Cross-Tab (row=my rating, col=opponent rating)
Cell = win% (N), * = N < 20


TOTAL / TOTAL
rating,A,B,C,D,E,U
A,50% (29486),71% (18727),81% (15386),88% (8114),92% (6483),94% (6940)
B,29% (18727),50% (14044),66% (15297),77% (11574),86% (9490),92% (10787)
C,19% (15386),34% (15297),50% (16484),66% (15035),77% (15780),88% (16603)
D,12% (8114),23% (11574),34% (15035),50% (12940),66% (15028),83% (19677)
E,8% (6483),14% (9490),23% (15780),34% (15028),50% (13542),75% (20815)
U,6% (6940),8% (10787),12% (16603),17% (19677),25% (20815),50% (25638)


TOTAL / M
rating,A,B,C,D,E,U
A,50% (19940),71% (11638),81% (9742),88% (4907),93% (3898),95% (4064)
B,29% (11638),50% (8220),66% (9241),77% (6826),86% (5342),91% (6168)
C,19% (9742),34% (9241),50% (10650),66% (9428),78% (9658),89% (10000)
D,12% (4907),23% (6826),34% (9428),50% (7628),67% (8543),83% (11149)
E,7% (3898),14% (5342),22% (9658),33% (8543),50% (7090),74% (10420)
U,5% (4064),9% (6168),11% (10000),17% (11149),26% (10420),50% (11584)


TOTAL / F
rating,A,B,C,D,E,U
A,50% (9370),71% (6913),82% (5449),88% (3027),91% (2432),94% (2468)
B,29% (6913),50% (5650),66% (5785),78% (4473),86% (3887),92% (4054)
C,18% (5449),34% (5785),50% (5488),65% (5295),77% (5610),88% (5619)
D,12% (3027),22% (4473),35% (5295),50% (4918),66% (5802),82% (7097)
E,9% (2432),14% (3887),23% (5610),34% (5802),50% (5476),75% (8173)
U,6% (2468),8% (4054),12% (5619),18% (7097),25% (8173),50% (9680)


TOTAL / MIXED
rating,A,B,C,D,E,U
A,50% (176),66% (176),74% (195),88% (180),91% (153),92% (408)
B,34% (176),50% (174),63% (271),78% (275),84% (261),92% (565)
C,26% (195),37% (271),50% (346),68% (312),76% (512),89% (984)
D,12% (180),22% (275),32% (312),50% (394),69% (683),84% (1431)
E,9% (153),16% (261),24% (512),31% (683),50% (976),77% (2222)
U,8% (408),8% (565),11% (984),16% (1431),23% (2222),50% (4374)


DE / TOTAL
rating,A,B,C,D,E,U
A,50% (13264),73% (6146),85% (3898),93% (1858),96% (1245),95% (1188)
B,27% (6146),50% (5422),68% (4779),84% (2843),91% (2064),94% (2028)
C,15% (3898),32% (4779),50% (6078),68% (4534),82% (3367),91% (3217)
D,7% (1858),16% (2843),32% (4534),50% (4552),69% (3858),86% (3883)
E,4% (1245),9% (2064),18% (3367),31% (3858),50% (4114),75% (4310)
U,5% (1188),6% (2028),9% (3217),14% (3883),25% (4310),50% (6276)


DE / M
rating,A,B,C,D,E,U
A,50% (8650),73% (3774),86% (2471),93% (1127),97% (756),96% (706)
B,27% (3774),50% (3186),68% (2910),84% (1655),90% (1160),93% (1221)
C,14% (2471),32% (2910),50% (4010),68% (2870),83% (2035),91% (1983)
D,7% (1127),16% (1655),32% (2870),50% (2734),69% (2245),87% (2249)
E,3% (756),10% (1160),17% (2035),31% (2245),50% (2226),75% (2187)
U,4% (706),7% (1221),9% (1983),13% (2249),25% (2187),50% (2918)


DE / F
rating,A,B,C,D,E,U
A,50% (4512),74% (2307),85% (1374),92% (689),93% (459),95% (390)
B,26% (2307),50% (2164),70% (1781),83% (1122),91% (839),95% (693)
C,15% (1374),30% (1781),50% (1940),67% (1552),81% (1219),91% (1037)
D,8% (689),17% (1122),33% (1552),50% (1646),69% (1422),85% (1331)
E,7% (459),9% (839),19% (1219),31% (1422),50% (1572),76% (1606)
U,5% (390),5% (693),9% (1037),15% (1331),24% (1606),50% (2208)


DE / MIXED
rating,A,B,C,D,E,U
A,50% (102),69% (65),74% (53),95% (42),97% (30),90% (92)
B,31% (65),50% (72),65% (88),80% (66),91% (65),94% (114)
C,26% (53),35% (88),50% (128),65% (112),76% (113),91% (197)
D,5% (42),20% (66),35% (112),50% (172),69% (191),87% (303)
E,3% (30),9% (65),24% (113),31% (191),50% (316),77% (517)
U,10% (92),6% (114),9% (197),13% (303),23% (517),50% (1150)


POOL / TOTAL
rating,A,B,C,D,E,U
A,50% (16222),70% (12581),80% (11488),86% (6256),91% (5238),94% (5752)
B,30% (12581),50% (8622),65% (10518),75% (8731),85% (7426),91% (8759)
C,20% (11488),35% (10518),50% (10406),65% (10501),76% (12413),88% (13386)
D,14% (6256),25% (8731),35% (10501),50% (8388),66% (11170),82% (15794)
E,9% (5238),15% (7426),24% (12413),34% (11170),50% (9428),74% (16505)
U,6% (5752),9% (8759),12% (13386),18% (15794),26% (16505),50% (19362)


POOL / M
rating,A,B,C,D,E,U
A,50% (11290),70% (7864),79% (7271),87% (3780),92% (3142),94% (3358)
B,30% (7864),50% (5034),65% (6331),75% (5171),85% (4182),91% (4947)
C,21% (7271),35% (6331),50% (6640),66% (6558),76% (7623),88% (8017)
D,13% (3780),25% (5171),34% (6558),50% (4894),66% (6298),82% (8900)
E,8% (3142),15% (4182),24% (7623),34% (6298),50% (4864),74% (8233)
U,6% (3358),9% (4947),12% (8017),18% (8900),26% (8233),50% (8666)


POOL / F
rating,A,B,C,D,E,U
A,50% (4858),69% (4606),81% (4075),86% (2338),91% (1973),94% (2078)
B,31% (4606),50% (3486),65% (4004),76% (3351),85% (3048),91% (3361)
C,19% (4075),35% (4004),50% (3548),64% (3743),76% (4391),87% (4582)
D,14% (2338),24% (3351),36% (3743),50% (3272),65% (4380),81% (5766)
E,9% (1973),15% (3048),24% (4391),35% (4380),50% (3904),75% (6567)
U,6% (2078),9% (3361),13% (4582),19% (5766),25% (6567),50% (7472)


POOL / MIXED
rating,A,B,C,D,E,U
A,50% (74),65% (111),74% (142),86% (138),89% (123),92% (316)
B,35% (111),50% (102),63% (183),77% (209),82% (196),91% (451)
C,26% (142),37% (183),50% (218),69% (200),76% (399),88% (787)
D,14% (138),23% (209),31% (200),50% (222),68% (492),84% (1128)
E,11% (123),18% (196),24% (399),32% (492),50% (660),76% (1705)
U,8% (316),9% (451),12% (787),16% (1128),24% (1705),50% (3224)

