weapon,gender,n,spearman_r,p_value
All,All,4791,0.7408450090115303,0.0
epee,All,1903,0.7359585551428739,0.0
foil,All,1485,0.7633960509370838,8.690927648534794e-284
saber,All,1403,0.6999224594729866,5.0225651367910344e-207
All,M,2914,0.7360070391645142,0.0
All,F,1877,0.6958603049605623,7.191929832346438e-272
epee,M,1195,0.7205702344461656,6.105931978819096e-192
epee,F,708,0.6813984569596329,8.943658990720183e-98
foil,M,924,0.755809666895762,9.718822626291588e-172
foil,F,561,0.7174829247793827,7.779100920019845e-90
saber,M,795,0.6939163504038934,3.173564290794012e-115
saber,F,608,0.681171855156348,4.1170085759742554e-84
