elo_bin,0-199,1000-1199,1200-1399,1400-1599,1600-1799,1800-1999,200-399,2000-2199,2200-2399,2400-2599,2600-2799,2800-2999,3000-3199,3200-3399,3400-3599,3600-3799,3800-3999,400-599,4000-4199,4200-4399,4400-4599,4600-4799,4800-4999,5000-5199,600-799,800-999
0-199,-,0% (3)*,0% (9)*,0% (9)*,0% (8)*,0% (9)*,-,0% (12)*,0% (11)*,0% (4)*,0% (1)*,-,-,-,-,-,-,-,-,-,-,-,-,-,0% (3)*,0% (1)*
1000-1199,100% (3)*,50% (720),37% (1213),24% (1877),16% (2702),10% (2628),84% (32),7% (2065),4% (1589),8% (1040),2% (495),2% (260),6% (124),2% (44),0% (6)*,0% (2)*,-,80% (93),0% (1)*,-,-,-,-,-,77% (220),62% (465)
1200-1399,100% (9)*,63% (1213),50% (2044),37% (3019),26% (4384),17% (4424),96% (52),12% (3517),8% (2872),10% (1979),5% (910),5% (477),2% (197),2% (96),0% (20),12% (8)*,0% (2)*,94% (156),0% (1)*,-,-,-,-,-,84% (359),72% (673)
1400-1599,100% (9)*,76% (1877),63% (3019),50% (4444),37% (6195),26% (6676),97% (58),17% (5941),12% (4792),13% (3393),6% (1677),4% (794),4% (363),2% (188),10% (39),0% (10)*,0% (4)*,95% (194),0% (4)*,-,-,-,-,-,92% (551),84% (1112)
1600-1799,100% (8)*,84% (2702),74% (4384),63% (6195),50% (8386),37% (9111),97% (105),27% (8409),19% (7323),17% (5341),10% (2693),10% (1412),7% (619),5% (334),4% (83),4% (26),0% (6)*,97% (292),0% (1)*,-,-,-,-,-,96% (702),91% (1432)
1800-1999,100% (9)*,90% (2628),83% (4424),74% (6676),63% (9111),50% (10384),99% (93),38% (9556),27% (8943),20% (6746),14% (3912),11% (2128),8% (901),5% (487),4% (132),5% (38),0% (16)*,98% (276),0% (6)*,-,-,-,-,-,96% (618),94% (1312)
200-399,-,16% (32),4% (52),3% (58),3% (105),1% (93),-,0% (47),0% (57),0% (37),0% (12)*,0% (10)*,0% (2)*,0% (2)*,0% (1)*,-,-,100% (1)*,-,-,-,-,-,-,25% (4)*,17% (18)*
2000-2199,100% (12)*,93% (2065),88% (3517),83% (5941),73% (8409),62% (9556),100% (47),50% (9288),37% (8848),30% (7251),20% (4644),16% (2750),11% (1235),9% (759),5% (223),3% (63),7% (41),97% (214),0% (4)*,-,0% (1)*,-,-,-,97% (497),96% (1080)
2200-2399,100% (11)*,96% (1589),92% (2872),88% (4792),81% (7323),73% (8943),100% (57),63% (8848),50% (8398),39% (7425),29% (5170),20% (3517),18% (1801),13% (1059),8% (344),8% (136),0% (59),100% (162),0% (21),0% (4)*,0% (1)*,-,-,-,99% (391),98% (807)
2400-2599,100% (4)*,92% (1040),90% (1979),87% (3393),83% (5341),80% (6746),100% (37),70% (7251),61% (7425),50% (6990),37% (4992),28% (3619),23% (1991),18% (1399),13% (506),7% (210),7% (109),99% (100),5% (21),0% (7)*,-,0% (2)*,-,-,96% (256),94% (508)
